a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,bb27,cc28,dd29,ee30,ff31,gg32,hh33,ii34,jj35,kk36,ll37,mm38,mm39,nn40,oo41,pp42,qq43,rr44,ss45,tt46,uu47,vv48,ww49,xx50,yy51,zz52,aaa53,bbb54,ccc55,ddd56,eee57,fff58,ggg59,hhh60,iii61,jjj62,kkk63,lll64,mmm65,nnn66,
4200,8820,reticle,LOOT_JAN_RET_16,ret_jan_shuriken_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100BABC,,,loot,0,,0,0,,,,1,,,ret096,165,0,LootDrop2,
4201,8821,reticle,LOOT_JAN_RET_17,ret_jan_shuriken_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100BABD,,,loot,0,,0,0,,,,1,,,ret095,165,0,LootDrop2,
4231,8851,reticle,LOOT_JAN_RET_27,ret_jan_shuriken_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100BE99,,,loot,0,,0,0,,,,2,,,ret100,460,0,LootDrop2,
4244,8864,reticle,LOOT_JAN_RET_31,ret_jan_shuriken_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C27F,,,loot,0,,0,0,,,,3,,,ret101,1300,0,LootDrop2,
4372,8992,reticle,LOOT_JAN_RET_REWARD_02,ret_jan_shuriken_reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C6D8,,,reward,0,,0,0,,,,0,,,ret094,3950,0,LootDrop2,
4202,8822,reticle,LOOT_JAN_RET_18,ret_jan_lawman_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100BABE,,,loot,0,,0,0,,,,1,,,ret102,165,0,LootDrop2,
4157,8777,reticle,LOOT_JAN_RET_19,ret_jan_spartan_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100B6DA,,,loot,0,,0,0,,,,0,,,ret068,100,0,LootDrop2,
4158,8778,reticle,LOOT_JAN_RET_32,ret_jan_spartan_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100B6DB,,,loot,0,,0,0,,,,0,,,ret063,100,0,LootDrop2,
4203,8823,reticle,LOOT_JAN_RET_28,ret_jan_spartan_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100BABF,,,loot,0,,0,0,,,,1,,,ret065,165,0,LootDrop2,
4204,8824,reticle,LOOT_JAN_RET_20,ret_jan_spartan_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100BAC0,,,loot,0,,0,0,,,,1,,,ret064,165,0,LootDrop2,
4205,8825,reticle,LOOT_JAN_RET_21,ret_jan_spartan_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100BAC1,,,loot,0,,0,0,,,,1,,,ret069,165,0,LootDrop2,
4232,8852,reticle,LOOT_JAN_RET_08,ret_jan_spartan_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100BE9A,,,loot,0,,0,0,,,,2,,,ret066,460,0,LootDrop2,
4245,8865,reticle,LOOT_JAN_RET_09,ret_jan_spartan_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C280,,,loot,0,,0,0,,,,3,,,ret067,1300,0,LootDrop2,
4375,8995,reticle,LOOT_JAN_RET_REWARD_03,ret_jan_spartan_reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C6DB,,,reward,0,,0,0,,,,0,,,ret070,3950,0,LootDrop2,
4159,8779,reticle,LOOT_JAN_RET_22,ret_jan_supreme_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100B6DC,,,loot,0,,0,0,,,,0,,,ret075,100,0,LootDrop2,
4160,8780,reticle,LOOT_JAN_RET_23,ret_jan_supreme_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100B6DD,,,loot,0,,0,0,,,,0,,,ret073,100,0,LootDrop2,
4206,8826,reticle,LOOT_JAN_RET_10,ret_jan_supreme_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100BAC2,,,loot,0,,0,0,,,,1,,,ret074,165,0,LootDrop2,
4207,8827,reticle,LOOT_JAN_RET_33,ret_jan_supreme_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100BAC3,,,loot,0,,0,0,,,,1,,,ret072,165,0,LootDrop2,
4208,8828,reticle,LOOT_JAN_RET_42,ret_jan_supreme_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100BAC4,,,loot,0,,0,0,,,,1,,,ret077,165,0,LootDrop2,
4233,8853,reticle,LOOT_JAN_RET_24,ret_jan_supreme_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100BE9B,,,loot,0,,0,0,,,,2,,,ret076,460,0,LootDrop2,
4246,8866,reticle,LOOT_JAN_RET_11,ret_jan_supreme_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C281,,,loot,0,,0,0,,,,3,,,ret071,1300,0,LootDrop2,
4376,8996,reticle,LOOT_JAN_RET_REWARD_04,ret_jan_supreme_reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C6DC,,,reward,0,,0,0,,,,0,,,ret078,3950,0,LootDrop2,
4247,8867,reticle,LOOT_JAN_RET_34,ret_jan_czar_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C282,,,loot,0,,0,0,,,,1,,,ret104,165,0,LootDrop2,
3986,8606,weaponcamo,LOOT_JAN_WCAMO_16,wcamo_jan_44_magnum_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008BDD,,,loot,0,,0,0,,,,2,,,wc_magnum_01,775,0,LootDrop2,
3917,8537,weaponcamo,LOOT_JAN_WCAMO_01,wcamo_jan_funhouse_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x10087FB,,,loot,0,,0,0,,,,0,,,wc_funhouse_01,275,0,LootDrop2,
3918,8538,weaponcamo,LOOT_JAN_WCAMO_02,wcamo_jan_funhouse_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x10087FC,,,loot,0,,0,0,,,,0,,,wc_funhouse_02,275,0,LootDrop2,
3919,8539,weaponcamo,LOOT_JAN_WCAMO_03,wcamo_jan_funhouse_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x10087FD,,,loot,0,,0,0,,,,0,,,wc_funhouse_03,275,0,LootDrop2,
3987,8607,weaponcamo,LOOT_JAN_WCAMO_17,wcamo_jan_funhouse_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008BDE,,,loot,0,,0,0,,,,1,,,wc_funhouse_04,460,0,LootDrop2,
3988,8608,weaponcamo,LOOT_JAN_WCAMO_18,wcamo_jan_funhouse_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008BDF,,,loot,0,,0,0,,,,1,,,wc_funhouse_05,460,0,LootDrop2,
4046,8666,weaponcamo,LOOT_JAN_WCAMO_31,wcamo_jan_funhouse_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008FB9,,,loot,0,,0,0,,,,2,,,wc_funhouse_06,775,0,LootDrop2,
4078,8698,weaponcamo,LOOT_JAN_WCAMO_37,wcamo_jan_funhouse_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x10093A3,,,loot,0,,0,0,,,,3,,,wc_funhouse_07,2150,0,LootDrop2,
4327,8947,weaponcamo,LOOT_JAN_WCAMO_REWARD_01,wcamo_jan_funhouse_reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C6AB,,,reward,0,,0,0,,,,0,,,wc_funhouse_reward,4025,0,LootDrop2,
4079,8699,weaponcamo,LOOT_JAN_WCAMO_38,wcamo_jan_battle_scarred_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x10093A4,,,loot,0,,0,0,,,,3,,,wc_battlescarred_01,2150,0,LootDrop2,
3920,8540,weaponcamo,LOOT_JAN_WCAMO_04,wcamo_jan_diablo_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x10087FE,,,loot,0,,0,0,,,,0,,,wc_diablo_01,275,0,LootDrop2,
3921,8541,weaponcamo,LOOT_JAN_WCAMO_05,wcamo_jan_diablo_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x10087FF,,,loot,0,,0,0,,,,0,,,wc_diablo_02,275,0,LootDrop2,
3922,8542,weaponcamo,LOOT_JAN_WCAMO_06,wcamo_jan_diablo_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008800,,,loot,0,,0,0,,,,0,,,wc_diablo_03,275,0,LootDrop2,
3989,8609,weaponcamo,LOOT_JAN_WCAMO_19,wcamo_jan_diablo_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008BE0,,,loot,0,,0,0,,,,1,,,wc_diablo_04,460,0,LootDrop2,
3990,8610,weaponcamo,LOOT_JAN_WCAMO_20,wcamo_jan_diablo_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008BE1,,,loot,0,,0,0,,,,1,,,wc_diablo_05,460,0,LootDrop2,
4047,8667,weaponcamo,LOOT_JAN_WCAMO_32,wcamo_jan_diablo_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008FBA,,,loot,0,,0,0,,,,2,,,wc_diablo_06,775,0,LootDrop2,
4080,8700,weaponcamo,LOOT_JAN_WCAMO_39,wcamo_jan_diablo_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x10093A5,,,loot,0,,0,0,,,,3,,,wc_diablo_07,2150,0,LootDrop2,
4329,8949,weaponcamo,LOOT_JAN_WCAMO_REWARD_02,wcamo_jan_diablo_reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C6AD,,,reward,0,,0,0,,,,0,,,wc_diablo_reward,4025,0,LootDrop2,
3994,8614,weaponcamo,LOOT_JAN_WCAMO_24,wcamo_jan_hatchetman_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008BE5,,,loot,0,,0,0,,,,0,,,wc_hatchetman_01,275,0,LootDrop2,
3925,8545,weaponcamo,LOOT_JAN_WCAMO_09,wcamo_jan_hunter_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008803,,,loot,0,,0,0,,,,0,,,wc_hunter_01,275,0,LootDrop2,
3926,8546,weaponcamo,LOOT_JAN_WCAMO_10,wcamo_jan_hunter_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008804,,,loot,0,,0,0,,,,0,,,wc_hunter_02,275,0,LootDrop2,
3927,8547,weaponcamo,LOOT_JAN_WCAMO_11,wcamo_jan_hunter_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008805,,,loot,0,,0,0,,,,0,,,wc_hunter_03,275,0,LootDrop2,
3995,8615,weaponcamo,LOOT_JAN_WCAMO_25,wcamo_jan_hunter_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008BE6,,,loot,0,,0,0,,,,1,,,wc_hunter_04,460,0,LootDrop2,
3996,8616,weaponcamo,LOOT_JAN_WCAMO_26,wcamo_jan_hunter_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008BE7,,,loot,0,,0,0,,,,1,,,wc_hunter_05,460,0,LootDrop2,
4049,8669,weaponcamo,LOOT_JAN_WCAMO_34,wcamo_jan_hunter_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008FBC,,,loot,0,,0,0,,,,2,,,wc_hunter_06,775,0,LootDrop2,
4082,8702,weaponcamo,LOOT_JAN_WCAMO_41,wcamo_jan_hunter_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x10093A7,,,loot,0,,0,0,,,,3,,,wc_hunter_07,2150,0,LootDrop2,
4335,8955,weaponcamo,LOOT_JAN_WCAMO_REWARD_04,wcamo_jan_hunter_reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C6B3,,,reward,0,,0,0,,,,0,,,wc_hunter_reward,4025,0,LootDrop2,
3997,8617,weaponcamo,LOOT_JAN_WCAMO_27,wcamo_jan_huntsman_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008BE8,,,loot,0,,0,0,,,,1,,,wc_huntsman_01,460,0,LootDrop2,
3928,8548,weaponcamo,LOOT_JAN_WCAMO_12,wcamo_jan_lawman_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008806,,,loot,0,,0,0,,,,0,,,wc_lawman_01,275,0,LootDrop2,
3929,8549,weaponcamo,LOOT_JAN_WCAMO_13,wcamo_jan_aftermath_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008807,,,loot,0,,0,0,,,,0,,,wc_aftermath_01,275,0,LootDrop2,
3930,8550,weaponcamo,LOOT_JAN_WCAMO_14,wcamo_jan_aftermath_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008808,,,loot,0,,0,0,,,,0,,,wc_aftermath_02,275,0,LootDrop2,
3931,8551,weaponcamo,LOOT_JAN_WCAMO_15,wcamo_jan_aftermath_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008809,,,loot,0,,0,0,,,,0,,,wc_aftermath_03,275,0,LootDrop2,
3998,8618,weaponcamo,LOOT_JAN_WCAMO_28,wcamo_jan_aftermath_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008BE9,,,loot,0,,0,0,,,,1,,,wc_aftermath_04,460,0,LootDrop2,
3999,8619,weaponcamo,LOOT_JAN_WCAMO_29,wcamo_jan_aftermath_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008BEA,,,loot,0,,0,0,,,,1,,,wc_aftermath_05,460,0,LootDrop2,
4050,8670,weaponcamo,LOOT_JAN_WCAMO_35,wcamo_jan_aftermath_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008FBD,,,loot,0,,0,0,,,,2,,,wc_aftermath_06,775,0,LootDrop2,
4083,8703,weaponcamo,LOOT_JAN_WCAMO_42,wcamo_jan_aftermath_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x10093A8,,,loot,0,,0,0,,,,3,,,wc_aftermath_07,2150,0,LootDrop2,
4340,8960,weaponcamo,LOOT_JAN_WCAMO_REWARD_05,wcamo_jan_aftermath_reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C6B8,,,reward,0,,0,0,,,,0,,,wc_aftermath_reward,4025,0,LootDrop2,
4000,8620,weaponcamo,LOOT_JAN_WCAMO_30,wcamo_jan_czar_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1008BEB,,,loot,0,,0,0,,,,3,,,wc_czar_01,2150,0,LootDrop2,
3469,8089,callingcard,LOOT_FEB_CC_01,cc_feb_boss_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AA0,,,loot,0,,0,0,,,,0,,,em_bg_boss_01,165,0,LootDrop3,
3470,8090,callingcard,LOOT_FEB_CC_02,cc_feb_challenger_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AA1,,,loot,0,,0,0,,,,0,,,em_bg_challenger_01,165,0,LootDrop3,
3534,8154,callingcard,LOOT_FEB_CC_19,cc_feb_equalizer_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E89,,,loot,0,,0,0,,,,1,,,em_bg_avalanche_01,275,0,LootDrop3,
3471,8091,callingcard,LOOT_FEB_CC_03,cc_feb_evolution_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AA2,,,loot,0,,0,0,,,,0,,,em_bg_evolution_01,165,0,LootDrop3,
3472,8092,callingcard,LOOT_FEB_CC_04,cc_feb_evolution_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AA3,,,loot,0,,0,0,,,,0,,,em_bg_evolution_02,165,0,LootDrop3,
3535,8155,callingcard,LOOT_FEB_CC_20,cc_feb_evolution_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E8A,,,loot,0,,0,0,,,,1,,,em_bg_evolution_03,275,0,LootDrop3,
3536,8156,callingcard,LOOT_FEB_CC_21,cc_feb_evolution_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E8B,,,loot,0,,0,0,,,,1,,,em_bg_evolution_04,275,0,LootDrop3,
3537,8157,callingcard,LOOT_FEB_CC_22,cc_feb_evolution_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E8C,,,loot,0,,0,0,,,,1,,,em_bg_evolution_05,275,0,LootDrop3,
3573,8193,callingcard,LOOT_FEB_CC_33,cc_feb_evolution_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100225E,,,loot,0,,0,0,,,,2,,,em_bg_evolution_06,775,0,LootDrop3,
3593,8213,callingcard,LOOT_FEB_CC_37,cc_feb_evolution_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1002644,,,loot,0,,0,0,,,,3,,,em_bg_evolution_07,1300,0,LootDrop3,
4272,8892,callingcard,LOOT_FEB_CC_REWARD_01,cc_feb_evolution_reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C674,,,reward,0,,0,0,,,,0,,,em_bg_evolution_reward,3950,0,LootDrop3,
3538,8158,callingcard,LOOT_FEB_CC_23,cc_feb_frag_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E8D,,,loot,0,,0,0,,,,1,,,em_bg_frag_01,275,0,LootDrop3,
3473,8093,callingcard,LOOT_FEB_CC_05,cc_feb_killshot_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AA4,,,loot,0,,0,0,,,,0,,,em_bg_killshot_01,165,0,LootDrop3,
3474,8094,callingcard,LOOT_APR_CC_34,cc_apr_kingfish_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AA5,,,loot,0,,0,0,,,,0,,,em_bg_kingfish_01,165,0,LootDrop4,
3475,8095,callingcard,LOOT_FEB_CC_07,cc_feb_kingpin_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AA6,,,loot,0,,0,0,,,,0,,,em_bg_kingpin_01,165,0,LootDrop3,
3539,8159,callingcard,LOOT_FEB_CC_24,cc_feb_mac_10_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E8E,,,loot,0,,0,0,,,,1,,,em_bg_mac10_01,275,0,LootDrop3,
3594,8214,callingcard,LOOT_FEB_CC_38,cc_feb_marksman_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1002645,,,loot,0,,0,0,,,,3,,,em_bg_chalk_01,1300,0,LootDrop3,
3476,8096,callingcard,LOOT_FEB_CC_08,cc_feb_masterblaster_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AA7,,,loot,0,,0,0,,,,1,,,em_bg_pigpen_01,275,0,LootDrop3,
3540,8160,callingcard,LOOT_FEB_CC_25,cc_feb_masterpiece_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E8F,,,loot,0,,0,0,,,,1,,,em_bg_mastercraft_01,275,0,LootDrop3,
3595,8215,callingcard,LOOT_FEB_CC_39,cc_feb_mechanic_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1002646,,,loot,0,,0,0,,,,3,,,em_bg_mechanic_01,1300,0,LootDrop3,
3596,8216,callingcard,LOOT_FEB_CC_40,cc_feb_n00btuber_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1002647,,,loot,0,,0,0,,,,3,,,em_bg_noobtuber_01,1300,0,LootDrop3,
3477,8097,callingcard,LOOT_FEB_CC_09,cc_feb_pkm_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AA8,,,loot,0,,0,0,,,,0,,,em_bg_pkm_01,165,0,LootDrop3,
3478,8098,callingcard,LOOT_FEB_CC_10,cc_feb_reflex_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AA9,,,loot,0,,0,0,,,,0,,,em_bg_reflex_01,165,0,LootDrop3,
3479,8099,callingcard,LOOT_FEB_CC_11,cc_feb_samurai_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AAA,,,loot,0,,0,0,,,,0,,,em_bg_samurai_01,165,0,LootDrop3,
3597,8217,callingcard,LOOT_FEB_CC_41,cc_feb_sting_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1002648,,,loot,0,,0,0,,,,3,,,em_bg_venom_01,1300,0,LootDrop3,
3541,8161,callingcard,LOOT_FEB_CC_26,cc_feb_striker_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E90,,,loot,0,,0,0,,,,1,,,em_bg_graves_01,550,1,LootDrop3,
3480,8100,callingcard,LOOT_FEB_CC_12,cc_feb_titanium_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AAB,,,loot,0,,0,0,,,,2,,,em_bg_titanium_01,775,0,LootDrop3,
3481,8101,callingcard,LOOT_FEB_CC_13,cc_feb_trooper_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AAC,,,loot,0,,0,0,,,,0,,,em_bg_trooper_01,165,0,LootDrop3,
3482,8102,callingcard,LOOT_FEB_CC_14,cc_feb_trooper_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AAD,,,loot,0,,0,0,,,,0,,,em_bg_trooper_02,165,0,LootDrop3,
3542,8162,callingcard,LOOT_FEB_CC_27,cc_feb_trooper_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E91,,,loot,0,,0,0,,,,1,,,em_bg_trooper_03,275,0,LootDrop3,
3543,8163,callingcard,LOOT_FEB_CC_28,cc_feb_trooper_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E92,,,loot,0,,0,0,,,,1,,,em_bg_trooper_04,275,0,LootDrop3,
3544,8164,callingcard,LOOT_FEB_CC_29,cc_feb_trooper_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E93,,,loot,0,,0,0,,,,1,,,em_bg_trooper_05,275,0,LootDrop3,
3574,8194,callingcard,LOOT_FEB_CC_34,cc_feb_trooper_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100225F,,,loot,0,,0,0,,,,2,,,em_bg_trooper_06,775,0,LootDrop3,
3598,8218,callingcard,LOOT_FEB_CC_42,cc_feb_trooper_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1002649,,,loot,0,,0,0,,,,3,,,em_bg_trooper_07,1300,0,LootDrop3,
4281,8901,callingcard,LOOT_FEB_CC_REWARD_02,cc_feb_trooper_reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100C67D,,,reward,0,,0,0,,,,0,,,em_bg_trooper_reward,3950,0,LootDrop3,
3483,8103,callingcard,LOOT_FEB_CC_15,cc_feb_ultraviolet_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AAE,,,loot,0,,0,0,,,,0,,,em_bg_ultraviolet_01,165,0,LootDrop3,
3484,8104,callingcard,LOOT_FEB_CC_16,cc_feb_vss_vintorez_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AAF,,,loot,0,,0,0,,,,2,,,em_bg_d25s_01,775,0,LootDrop3,
3575,8195,callingcard,LOOT_FEB_CC_35,cc_feb_wartorn_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1002260,,,loot,0,,0,0,,,,2,,,em_bg_wartorn_01,775,0,LootDrop3,
3485,8105,callingcard,LOOT_FEB_CC_17,cc_feb_wicked_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AB0,,,loot,0,,0,0,,,,0,,,em_bg_wicked_01,165,0,LootDrop3,
3486,8106,callingcard,LOOT_FEB_CC_18,cc_feb_wicked_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001AB1,,,loot,0,,0,0,,,,0,,,em_bg_wicked_02,165,0,LootDrop3,
3545,8165,callingcard,LOOT_FEB_CC_30,cc_feb_wicked_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E94,,,loot,0,,0,0,,,,1,,,em_bg_wicked_03,275,0,LootDrop3,
3546,8166,callingcard,LOOT_FEB_CC_31,cc_feb_wicked_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E95,,,loot,0,,0,0,,,,1,,,em_bg_wicked_04,275,0,LootDrop3,
3547,8167,callingcard,LOOT_FEB_CC_32,cc_feb_wicked_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1001E96,,,loot,0,,0,0,,,,1,,,em_bg_wicked_05,275,0,LootDrop3,
