model,category,idIndex,primaryid,collision,transient override,lobmodel,viewmodel,worldmat,viewmat,group1,group2,group3,group4,group5,group6,group7,group8,wetmodel,wetviewmodel,productionLevel,
head_y_alfakey_spetsnaz_woodland_smg_mp,head,13,13,0,,head_y_alfakey_spetsnaz_woodland_smg_lobby,,,,urban,!ally,smg,,,,,,,,LootDrop1,
head_y_alfakey_spetsnaz_woodland_sniper_mp,head,13,13,0,,head_y_alfakey_spetsnaz_woodland_sniper_lobby,,,,woodland,!ally,sniper,,,,,,,,LootDrop1,
head_y_alfakey_usmc_desert_lmg_mp,head,13,13,0,,head_y_alfakey_usmc_desert_lmg_lobby,,,,desert,ally,lmg,,,,,,,,LootDrop1,
head_y_alfakey_usmc_desert_shotgun_mp,head,13,13,0,,head_y_alfakey_usmc_desert_shotgun_lobby,,,,desert,ally,shotgun,,,,,,,,LootDrop1,
head_y_alfakey_usmc_desert_smg_mp,head,13,13,0,,head_y_alfakey_usmc_desert_smg_lobby,,,,desert,ally,smg,,,,,,,,LootDrop1,
head_y_alfakey_usmc_desert_sniper_mp,head,13,13,0,,head_y_alfakey_usmc_desert_sniper_lobby,,,,desert,ally,sniper,,,,,,,,LootDrop1,
head_c_balthazar_sas_ct_assault_mp,head,14,14,0,,head_c_balthazar_sas_ct_assault_lobby,,,,urban,ally,assault,,,,,,,,Gold,
head_c_balthazar_sas_woodland_assault_mp,head,14,14,0,,head_c_balthazar_sas_woodland_assault_lobby,,,,woodland,ally,assault,,,,,,,,Gold,
head_c_balthazar_spetsnaz_woodland_assault_mp,head,14,14,0,,head_c_balthazar_spetsnaz_woodland_assault_lobby,,,,woodland,!ally,assault,,,,,,,,Gold,
head_c_balthazar_spetsnaz_woodland_assault_mp,head,14,14,0,,head_c_balthazar_spetsnaz_woodland_assault_lobby,,,,urban,!ally,assault,,,,,,,,Gold,
head_c_balthazar_usmc_desert_assault_mp,head,14,14,0,,head_c_balthazar_usmc_desert_assault_lobby,,,,desert,ally,assault,,,,,,,,Gold,
head_c_balthazar_arab_desert_assault_mp,head,14,14,0,,head_c_balthazar_arab_desert_assault_lobby,,,,desert,!ally,assault,,,,,,,,Gold,
head_c_balthazar_arab_desert_lmg_mp,head,14,14,0,,head_c_balthazar_arab_desert_lmg_lobby,,,,desert,!ally,lmg,,,,,,,,Gold,
head_c_balthazar_arab_desert_shotgun_mp,head,14,14,0,,head_c_balthazar_arab_desert_shotgun_lobby,,,,desert,!ally,shotgun,,,,,,,,Gold,
head_c_balthazar_arab_desert_smg_mp,head,14,14,0,,head_c_balthazar_arab_desert_smg_lobby,,,,desert,!ally,smg,,,,,,,,Gold,
head_c_balthazar_arab_desert_sniper_mp,head,14,14,0,,head_c_balthazar_arab_desert_sniper_lobby,,,,desert,!ally,sniper,,,,,,,,Gold,
head_c_balthazar_sas_ct_lmg_mp,head,14,14,0,,head_c_balthazar_sas_ct_lmg_lobby,,,,urban,ally,lmg,,,,,,,,Gold,
head_c_balthazar_sas_ct_shotgun_mp,head,14,14,0,,head_c_balthazar_sas_ct_shotgun_lobby,,,,urban,ally,shotgun,,,,,,,,Gold,
head_c_balthazar_sas_ct_smg_mp,head,14,14,0,,head_c_balthazar_sas_ct_smg_lobby,,,,urban,ally,smg,,,,,,,,Gold,
head_c_balthazar_sas_ct_sniper_mp,head,14,14,0,,head_c_balthazar_sas_ct_sniper_lobby,,,,urban,ally,sniper,,,,,,,,Gold,
head_c_balthazar_sas_woodland_lmg_mp,head,14,14,0,,head_c_balthazar_sas_woodland_lmg_lobby,,,,woodland,ally,lmg,,,,,,,,Gold,
head_c_balthazar_sas_woodland_shotgun_mp,head,14,14,0,,head_c_balthazar_sas_woodland_shotgun_lobby,,,,woodland,ally,shotgun,,,,,,,,Gold,
head_c_balthazar_sas_woodland_smg_mp,head,14,14,0,,head_c_balthazar_sas_woodland_smg_lobby,,,,woodland,ally,smg,,,,,,,,Gold,
head_c_balthazar_sas_woodland_sniper_mp,head,14,14,0,,head_c_balthazar_sas_woodland_sniper_lobby,,,,woodland,ally,sniper,,,,,,,,Gold,
head_c_balthazar_spetsnaz_urban_sniper_mp,head,14,14,0,,head_c_balthazar_spetsnaz_urban_sniper_lobby,,,,urban,!ally,sniper,,,,,,,,Gold,
head_c_balthazar_spetsnaz_woodland_lmg_mp,head,14,14,0,,head_c_balthazar_spetsnaz_woodland_lmg_lobby,,,,woodland,!ally,lmg,,,,,,,,Gold,
head_c_balthazar_spetsnaz_woodland_lmg_mp,head,14,14,0,,head_c_balthazar_spetsnaz_woodland_lmg_lobby,,,,urban,!ally,lmg,,,,,,,,Gold,
head_c_balthazar_spetsnaz_woodland_shotgun_mp,head,14,14,0,,head_c_balthazar_spetsnaz_woodland_shotgun_lobby,,,,woodland,!ally,shotgun,,,,,,,,Gold,
head_c_balthazar_spetsnaz_woodland_shotgun_mp,head,14,14,0,,head_c_balthazar_spetsnaz_woodland_shotgun_lobby,,,,urban,!ally,shotgun,,,,,,,,Gold,
head_c_balthazar_spetsnaz_woodland_smg_mp,head,14,14,0,,head_c_balthazar_spetsnaz_woodland_smg_lobby,,,,woodland,!ally,smg,,,,,,,,Gold,
head_c_balthazar_spetsnaz_woodland_smg_mp,head,14,14,0,,head_c_balthazar_spetsnaz_woodland_smg_lobby,,,,urban,!ally,smg,,,,,,,,Gold,
head_c_balthazar_spetsnaz_woodland_sniper_mp,head,14,14,0,,head_c_balthazar_spetsnaz_woodland_sniper_lobby,,,,woodland,!ally,sniper,,,,,,,,Gold,
head_c_balthazar_usmc_desert_lmg_mp,head,14,14,0,,head_c_balthazar_usmc_desert_lmg_lobby,,,,desert,ally,lmg,,,,,,,,Gold,
head_c_balthazar_usmc_desert_shotgun_mp,head,14,14,0,,head_c_balthazar_usmc_desert_shotgun_lobby,,,,desert,ally,shotgun,,,,,,,,Gold,
head_c_balthazar_usmc_desert_smg_mp,head,14,14,0,,head_c_balthazar_usmc_desert_smg_lobby,,,,desert,ally,smg,,,,,,,,Gold,
head_c_balthazar_usmc_desert_sniper_mp,head,14,14,0,,head_c_balthazar_usmc_desert_sniper_lobby,,,,desert,ally,sniper,,,,,,,,Gold,
head_t_younger_sas_ct_assault_mp,head,15,15,0,,head_t_younger_sas_ct_assault_lobby,,,,urban,ally,assault,,,,,,,,Gold,
head_t_younger_sas_woodland_assault_mp,head,15,15,0,,head_t_younger_sas_woodland_assault_lobby,,,,woodland,ally,assault,,,,,,,,Gold,
head_t_younger_spetsnaz_woodland_assault_mp,head,15,15,0,,head_t_younger_spetsnaz_woodland_assault_lobby,,,,woodland,!ally,assault,,,,,,,,Gold,
head_t_younger_spetsnaz_woodland_assault_mp,head,15,15,0,,head_t_younger_spetsnaz_woodland_assault_lobby,,,,urban,!ally,assault,,,,,,,,Gold,
head_t_younger_usmc_desert_assault_mp,head,15,15,0,,head_t_younger_usmc_desert_assault_lobby,,,,desert,ally,assault,,,,,,,,Gold,
head_t_younger_arab_desert_assault_mp,head,15,15,0,,head_t_younger_arab_desert_assault_lobby,,,,desert,!ally,assault,,,,,,,,Gold,
head_t_younger_arab_desert_lmg_mp,head,15,15,0,,head_t_younger_arab_desert_lmg_lobby,,,,desert,!ally,lmg,,,,,,,,Gold,
head_t_younger_arab_desert_shotgun_mp,head,15,15,0,,head_t_younger_arab_desert_shotgun_lobby,,,,desert,!ally,shotgun,,,,,,,,Gold,
head_t_younger_arab_desert_smg_mp,head,15,15,0,,head_t_younger_arab_desert_smg_lobby,,,,desert,!ally,smg,,,,,,,,Gold,
head_t_younger_arab_desert_sniper_mp,head,15,15,0,,head_t_younger_arab_desert_sniper_lobby,,,,desert,!ally,sniper,,,,,,,,Gold,
head_t_younger_sas_ct_lmg_mp,head,15,15,0,,head_t_younger_sas_ct_lmg_lobby,,,,urban,ally,lmg,,,,,,,,Gold,
head_t_younger_sas_ct_shotgun_mp,head,15,15,0,,head_t_younger_sas_ct_shotgun_lobby,,,,urban,ally,shotgun,,,,,,,,Gold,
head_t_younger_sas_ct_smg_mp,head,15,15,0,,head_t_younger_sas_ct_smg_lobby,,,,urban,ally,smg,,,,,,,,Gold,
head_t_younger_sas_ct_sniper_mp,head,15,15,0,,head_t_younger_sas_ct_sniper_lobby,,,,urban,ally,sniper,,,,,,,,Gold,
head_t_younger_sas_woodland_lmg_mp,head,15,15,0,,head_t_younger_sas_woodland_lmg_lobby,,,,woodland,ally,lmg,,,,,,,,Gold,
head_t_younger_sas_woodland_shotgun_mp,head,15,15,0,,head_t_younger_sas_woodland_shotgun_lobby,,,,woodland,ally,shotgun,,,,,,,,Gold,
head_t_younger_sas_woodland_smg_mp,head,15,15,0,,head_t_younger_sas_woodland_smg_lobby,,,,woodland,ally,smg,,,,,,,,Gold,
head_t_younger_sas_woodland_sniper_mp,head,15,15,0,,head_t_younger_sas_woodland_sniper_lobby,,,,woodland,ally,sniper,,,,,,,,Gold,
head_t_younger_spetsnaz_urban_sniper_mp,head,15,15,0,,head_t_younger_spetsnaz_urban_sniper_lobby,,,,urban,!ally,sniper,,,,,,,,Gold,
head_t_younger_spetsnaz_woodland_lmg_mp,head,15,15,0,,head_t_younger_spetsnaz_woodland_lmg_lobby,,,,woodland,!ally,lmg,,,,,,,,Gold,
head_t_younger_spetsnaz_woodland_lmg_mp,head,15,15,0,,head_t_younger_spetsnaz_woodland_lmg_lobby,,,,urban,!ally,lmg,,,,,,,,Gold,
head_t_younger_spetsnaz_woodland_shotgun_mp,head,15,15,0,,head_t_younger_spetsnaz_woodland_shotgun_lobby,,,,woodland,!ally,shotgun,,,,,,,,Gold,
head_t_younger_spetsnaz_woodland_shotgun_mp,head,15,15,0,,head_t_younger_spetsnaz_woodland_shotgun_lobby,,,,urban,!ally,shotgun,,,,,,,,Gold,
head_t_younger_spetsnaz_woodland_smg_mp,head,15,15,0,,head_t_younger_spetsnaz_woodland_smg_lobby,,,,woodland,!ally,smg,,,,,,,,Gold,
head_t_younger_spetsnaz_woodland_smg_mp,head,15,15,0,,head_t_younger_spetsnaz_woodland_smg_lobby,,,,urban,!ally,smg,,,,,,,,Gold,
head_t_younger_spetsnaz_woodland_sniper_mp,head,15,15,0,,head_t_younger_spetsnaz_woodland_sniper_lobby,,,,woodland,!ally,sniper,,,,,,,,Gold,
head_t_younger_usmc_desert_lmg_mp,head,15,15,0,,head_t_younger_usmc_desert_lmg_lobby,,,,desert,ally,lmg,,,,,,,,Gold,
head_t_younger_usmc_desert_shotgun_mp,head,15,15,0,,head_t_younger_usmc_desert_shotgun_lobby,,,,desert,ally,shotgun,,,,,,,,Gold,
head_t_younger_usmc_desert_smg_mp,head,15,15,0,,head_t_younger_usmc_desert_smg_lobby,,,,desert,ally,smg,,,,,,,,Gold,
head_t_younger_usmc_desert_sniper_mp,head,15,15,0,,head_t_younger_usmc_desert_sniper_lobby,,,,desert,ally,sniper,,,,,,,,Gold,
head_fo_highway_sas_ct_lmg_mp,head,16,16,0,,head_fo_highway_sas_ct_lmg_lobby,,,,urban,ally,lmg,,,,,,,,LootDrop1,
head_fo_highway_sas_ct_shotgun_mp,head,16,16,0,,head_fo_highway_sas_ct_shotgun_lobby,,,,urban,ally,shotgun,,,,,,,,LootDrop1,
head_fo_highway_z_mp,head,16,16,0,,head_fo_highway_lobby,,,,,,,,,,,,,,LootDrop1,
head_sf_cowboy_sas_ct_lmg_mp,head,17,17,0,,head_sf_cowboy_sas_ct_lmg_lobby,,,,urban,ally,lmg,,,,,,,,LootDrop1,
head_sf_cowboy_sas_ct_shotgun_mp,head,17,17,0,,head_sf_cowboy_sas_ct_shotgun_lobby,,,,urban,ally,shotgun,,,,,,,,LootDrop1,
head_sf_cowboy_z_mp,head,17,17,0,,head_sf_cowboy_lobby,,,,,,,,,,,,,,LootDrop1,
head_y_blagodir_sas_ct_assault_mp,head,18,18,0,,head_y_blagodir_sas_ct_assault_lobby,,,,urban,ally,assault,,,,,,,,LootDrop3,
head_y_blagodir_sas_woodland_assault_mp,head,18,18,0,,head_y_blagodir_sas_woodland_assault_lobby,,,,woodland,ally,assault,,,,,,,,LootDrop3,
head_y_blagodir_spetsnaz_woodland_assault_mp,head,18,18,0,,head_y_blagodir_spetsnaz_woodland_assault_lobby,,,,woodland,!ally,assault,,,,,,,,LootDrop3,
head_y_blagodir_spetsnaz_woodland_assault_mp,head,18,18,0,,head_y_blagodir_spetsnaz_woodland_assault_lobby,,,,urban,!ally,assault,,,,,,,,LootDrop3,
head_y_blagodir_usmc_desert_assault_mp,head,18,18,0,,head_y_blagodir_usmc_desert_assault_lobby,,,,desert,ally,assault,,,,,,,,LootDrop3,
head_y_blagodir_arab_desert_assault_mp,head,18,18,0,,head_y_blagodir_arab_desert_assault_lobby,,,,desert,!ally,assault,,,,,,,,LootDrop3,
head_y_blagodir_arab_desert_lmg_mp,head,18,18,0,,head_y_blagodir_arab_desert_lmg_lobby,,,,desert,!ally,lmg,,,,,,,,LootDrop3,
head_y_blagodir_arab_desert_shotgun_mp,head,18,18,0,,head_y_blagodir_arab_desert_shotgun_lobby,,,,desert,!ally,shotgun,,,,,,,,LootDrop3,
head_y_blagodir_arab_desert_smg_mp,head,18,18,0,,head_y_blagodir_arab_desert_smg_lobby,,,,desert,!ally,smg,,,,,,,,LootDrop3,
head_y_blagodir_arab_desert_sniper_mp,head,18,18,0,,head_y_blagodir_arab_desert_sniper_lobby,,,,desert,!ally,sniper,,,,,,,,LootDrop3,
head_y_blagodir_sas_ct_lmg_mp,head,18,18,0,,head_y_blagodir_sas_ct_lmg_lobby,,,,urban,ally,lmg,,,,,,,,LootDrop3,
head_y_blagodir_sas_ct_shotgun_mp,head,18,18,0,,head_y_blagodir_sas_ct_shotgun_lobby,,,,urban,ally,shotgun,,,,,,,,LootDrop3,
head_y_blagodir_sas_ct_smg_mp,head,18,18,0,,head_y_blagodir_sas_ct_smg_lobby,,,,urban,ally,smg,,,,,,,,LootDrop3,
head_y_blagodir_sas_ct_sniper_mp,head,18,18,0,,head_y_blagodir_sas_ct_sniper_lobby,,,,urban,ally,sniper,,,,,,,,LootDrop3,
head_y_blagodir_sas_woodland_lmg_mp,head,18,18,0,,head_y_blagodir_sas_woodland_lmg_lobby,,,,woodland,ally,lmg,,,,,,,,LootDrop3,
head_y_blagodir_sas_woodland_shotgun_mp,head,18,18,0,,head_y_blagodir_sas_woodland_shotgun_lobby,,,,woodland,ally,shotgun,,,,,,,,LootDrop3,
head_y_blagodir_sas_woodland_smg_mp,head,18,18,0,,head_y_blagodir_sas_woodland_smg_lobby,,,,woodland,ally,smg,,,,,,,,LootDrop3,
head_y_blagodir_sas_woodland_sniper_mp,head,18,18,0,,head_y_blagodir_sas_woodland_sniper_lobby,,,,woodland,ally,sniper,,,,,,,,LootDrop3,
head_y_blagodir_spetsnaz_urban_sniper_mp,head,18,18,0,,head_y_blagodir_spetsnaz_urban_sniper_lobby,,,,urban,!ally,sniper,,,,,,,,LootDrop3,
head_y_blagodir_spetsnaz_woodland_lmg_mp,head,18,18,0,,head_y_blagodir_spetsnaz_woodland_lmg_lobby,,,,woodland,!ally,lmg,,,,,,,,LootDrop3,
head_y_blagodir_spetsnaz_woodland_lmg_mp,head,18,18,0,,head_y_blagodir_spetsnaz_woodland_lmg_lobby,,,,urban,!ally,lmg,,,,,,,,LootDrop3,
head_y_blagodir_spetsnaz_woodland_shotgun_mp,head,18,18,0,,head_y_blagodir_spetsnaz_woodland_shotgun_lobby,,,,woodland,!ally,shotgun,,,,,,,,LootDrop3,
head_y_blagodir_spetsnaz_woodland_shotgun_mp,head,18,18,0,,head_y_blagodir_spetsnaz_woodland_shotgun_lobby,,,,urban,!ally,shotgun,,,,,,,,LootDrop3,
head_y_blagodir_spetsnaz_woodland_smg_mp,head,18,18,0,,head_y_blagodir_spetsnaz_woodland_smg_lobby,,,,woodland,!ally,smg,,,,,,,,LootDrop3,
head_y_blagodir_spetsnaz_woodland_smg_mp,head,18,18,0,,head_y_blagodir_spetsnaz_woodland_smg_lobby,,,,urban,!ally,smg,,,,,,,,LootDrop3,
head_y_blagodir_spetsnaz_woodland_sniper_mp,head,18,18,0,,head_y_blagodir_spetsnaz_woodland_sniper_lobby,,,,woodland,!ally,sniper,,,,,,,,LootDrop3,
head_y_blagodir_usmc_desert_lmg_mp,head,18,18,0,,head_y_blagodir_usmc_desert_lmg_lobby,,,,desert,ally,lmg,,,,,,,,LootDrop3,
head_y_blagodir_usmc_desert_shotgun_mp,head,18,18,0,,head_y_blagodir_usmc_desert_shotgun_lobby,,,,desert,ally,shotgun,,,,,,,,LootDrop3,
head_y_blagodir_usmc_desert_smg_mp,head,18,18,0,,head_y_blagodir_usmc_desert_smg_lobby,,,,desert,ally,smg,,,,,,,,LootDrop3,
head_y_blagodir_usmc_desert_sniper_mp,head,18,18,0,,head_y_blagodir_usmc_desert_sniper_lobby,,,,desert,ally,sniper,,,,,,,,LootDrop3,
head_a_zhukov_sas_ct_assault_mp,head,19,19,0,,head_a_zhukov_sas_ct_assault_lobby,,,,urban,ally,assault,,,,,,,,LootDrop2,
head_a_zhukov_sas_woodland_assault_mp,head,19,19,0,,head_a_zhukov_sas_woodland_assault_lobby,,,,woodland,ally,assault,,,,,,,,LootDrop2,
head_a_zhukov_spetsnaz_woodland_assault_mp,head,19,19,0,,head_a_zhukov_spetsnaz_woodland_assault_lobby,,,,woodland,!ally,assault,,,,,,,,LootDrop2,
head_a_zhukov_spetsnaz_woodland_assault_mp,head,19,19,0,,head_a_zhukov_spetsnaz_woodland_assault_lobby,,,,urban,!ally,assault,,,,,,,,LootDrop2,
head_a_zhukov_usmc_desert_assault_mp,head,19,19,0,,head_a_zhukov_usmc_desert_assault_lobby,,,,desert,ally,assault,,,,,,,,LootDrop2,
head_a_zhukov_arab_desert_assault_mp,head,19,19,0,,head_a_zhukov_arab_desert_assault_lobby,,,,desert,!ally,assault,,,,,,,,LootDrop2,
head_a_zhukov_arab_desert_lmg_mp,head,19,19,0,,head_a_zhukov_arab_desert_lmg_lobby,,,,desert,!ally,lmg,,,,,,,,LootDrop2,
head_a_zhukov_arab_desert_shotgun_mp,head,19,19,0,,head_a_zhukov_arab_desert_shotgun_lobby,,,,desert,!ally,shotgun,,,,,,,,LootDrop2,
head_a_zhukov_arab_desert_smg_mp,head,19,19,0,,head_a_zhukov_arab_desert_smg_lobby,,,,desert,!ally,smg,,,,,,,,LootDrop2,
head_a_zhukov_arab_desert_sniper_mp,head,19,19,0,,head_a_zhukov_arab_desert_sniper_lobby,,,,desert,!ally,sniper,,,,,,,,LootDrop2,
head_a_zhukov_sas_ct_lmg_mp,head,19,19,0,,head_a_zhukov_sas_ct_lmg_lobby,,,,urban,ally,lmg,,,,,,,,LootDrop2,
head_a_zhukov_sas_ct_shotgun_mp,head,19,19,0,,head_a_zhukov_sas_ct_shotgun_lobby,,,,urban,ally,shotgun,,,,,,,,LootDrop2,
head_a_zhukov_sas_ct_smg_mp,head,19,19,0,,head_a_zhukov_sas_ct_smg_lobby,,,,urban,ally,smg,,,,,,,,LootDrop2,
head_a_zhukov_sas_ct_sniper_mp,head,19,19,0,,head_a_zhukov_sas_ct_sniper_lobby,,,,urban,ally,sniper,,,,,,,,LootDrop2,
head_a_zhukov_sas_woodland_lmg_mp,head,19,19,0,,head_a_zhukov_sas_woodland_lmg_lobby,,,,woodland,ally,lmg,,,,,,,,LootDrop2,
head_a_zhukov_sas_woodland_shotgun_mp,head,19,19,0,,head_a_zhukov_sas_woodland_shotgun_lobby,,,,woodland,ally,shotgun,,,,,,,,LootDrop2,
head_a_zhukov_sas_woodland_smg_mp,head,19,19,0,,head_a_zhukov_sas_woodland_smg_lobby,,,,woodland,ally,smg,,,,,,,,LootDrop2,
head_a_zhukov_sas_woodland_sniper_mp,head,19,19,0,,head_a_zhukov_sas_woodland_sniper_lobby,,,,woodland,ally,sniper,,,,,,,,LootDrop2,
head_a_zhukov_spetsnaz_urban_sniper_mp,head,19,19,0,,head_a_zhukov_spetsnaz_urban_sniper_lobby,,,,urban,!ally,sniper,,,,,,,,LootDrop2,
head_a_zhukov_spetsnaz_woodland_lmg_mp,head,19,19,0,,head_a_zhukov_spetsnaz_woodland_lmg_lobby,,,,woodland,!ally,lmg,,,,,,,,LootDrop2,
head_a_zhukov_spetsnaz_woodland_lmg_mp,head,19,19,0,,head_a_zhukov_spetsnaz_woodland_lmg_lobby,,,,urban,!ally,lmg,,,,,,,,LootDrop2,
head_a_zhukov_spetsnaz_woodland_shotgun_mp,head,19,19,0,,head_a_zhukov_spetsnaz_woodland_shotgun_lobby,,,,woodland,!ally,shotgun,,,,,,,,LootDrop2,
head_a_zhukov_spetsnaz_woodland_shotgun_mp,head,19,19,0,,head_a_zhukov_spetsnaz_woodland_shotgun_lobby,,,,urban,!ally,shotgun,,,,,,,,LootDrop2,
head_a_zhukov_spetsnaz_woodland_smg_mp,head,19,19,0,,head_a_zhukov_spetsnaz_woodland_smg_lobby,,,,woodland,!ally,smg,,,,,,,,LootDrop2,
head_a_zhukov_spetsnaz_woodland_smg_mp,head,19,19,0,,head_a_zhukov_spetsnaz_woodland_smg_lobby,,,,urban,!ally,smg,,,,,,,,LootDrop2,
head_a_zhukov_spetsnaz_woodland_sniper_mp,head,19,19,0,,head_a_zhukov_spetsnaz_woodland_sniper_lobby,,,,woodland,!ally,sniper,,,,,,,,LootDrop2,
head_a_zhukov_usmc_desert_lmg_mp,head,19,19,0,,head_a_zhukov_usmc_desert_lmg_lobby,,,,desert,ally,lmg,,,,,,,,LootDrop2,
head_a_zhukov_usmc_desert_shotgun_mp,head,19,19,0,,head_a_zhukov_usmc_desert_shotgun_lobby,,,,desert,ally,shotgun,,,,,,,,LootDrop2,
head_a_zhukov_usmc_desert_smg_mp,head,19,19,0,,head_a_zhukov_usmc_desert_smg_lobby,,,,desert,ally,smg,,,,,,,,LootDrop2,
head_a_zhukov_usmc_desert_sniper_mp,head,19,19,0,,head_a_zhukov_usmc_desert_sniper_lobby,,,,desert,ally,sniper,,,,,,,,LootDrop2,
head_j_nonamegiven_sas_ct_assault_mp,head,20,20,0,,head_j_nonamegiven_sas_ct_assault_lobby,,,,urban,ally,assault,,,,,,,,LootDrop2,
head_j_nonamegiven_sas_woodland_assault_mp,head,20,20,0,,head_j_nonamegiven_sas_woodland_assault_lobby,,,,woodland,ally,assault,,,,,,,,LootDrop2,
head_j_nonamegiven_spetsnaz_woodland_assault_mp,head,20,20,0,,head_j_nonamegiven_spetsnaz_woodland_assault_lobby,,,,woodland,!ally,assault,,,,,,,,LootDrop2,
head_j_nonamegiven_spetsnaz_woodland_assault_mp,head,20,20,0,,head_j_nonamegiven_spetsnaz_woodland_assault_lobby,,,,urban,!ally,assault,,,,,,,,LootDrop2,
head_j_nonamegiven_usmc_desert_assault_mp,head,20,20,0,,head_j_nonamegiven_usmc_desert_assault_lobby,,,,desert,ally,assault,,,,,,,,LootDrop2,
head_j_nonamegiven_arab_desert_assault_mp,head,20,20,0,,head_j_nonamegiven_arab_desert_assault_lobby,,,,desert,!ally,assault,,,,,,,,LootDrop2,
head_j_nonamegiven_arab_desert_lmg_mp,head,20,20,0,,head_j_nonamegiven_arab_desert_lmg_lobby,,,,desert,!ally,lmg,,,,,,,,LootDrop2,
head_j_nonamegiven_arab_desert_shotgun_mp,head,20,20,0,,head_j_nonamegiven_arab_desert_shotgun_lobby,,,,desert,!ally,shotgun,,,,,,,,LootDrop2,
head_j_nonamegiven_arab_desert_smg_mp,head,20,20,0,,head_j_nonamegiven_arab_desert_smg_lobby,,,,desert,!ally,smg,,,,,,,,LootDrop2,
head_j_nonamegiven_arab_desert_sniper_mp,head,20,20,0,,head_j_nonamegiven_arab_desert_sniper_lobby,,,,desert,!ally,sniper,,,,,,,,LootDrop2,
head_j_nonamegiven_sas_ct_lmg_mp,head,20,20,0,,head_j_nonamegiven_sas_ct_lmg_lobby,,,,urban,ally,lmg,,,,,,,,LootDrop2,
head_j_nonamegiven_sas_ct_shotgun_mp,head,20,20,0,,head_j_nonamegiven_sas_ct_shotgun_lobby,,,,urban,ally,shotgun,,,,,,,,LootDrop2,
head_j_nonamegiven_sas_ct_smg_mp,head,20,20,0,,head_j_nonamegiven_sas_ct_smg_lobby,,,,urban,ally,smg,,,,,,,,LootDrop2,
head_j_nonamegiven_sas_ct_sniper_mp,head,20,20,0,,head_j_nonamegiven_sas_ct_sniper_lobby,,,,urban,ally,sniper,,,,,,,,LootDrop2,
head_j_nonamegiven_sas_woodland_lmg_mp,head,20,20,0,,head_j_nonamegiven_sas_woodland_lmg_lobby,,,,woodland,ally,lmg,,,,,,,,LootDrop2,
head_j_nonamegiven_sas_woodland_shotgun_mp,head,20,20,0,,head_j_nonamegiven_sas_woodland_shotgun_lobby,,,,woodland,ally,shotgun,,,,,,,,LootDrop2,
head_j_nonamegiven_sas_woodland_smg_mp,head,20,20,0,,head_j_nonamegiven_sas_woodland_smg_lobby,,,,woodland,ally,smg,,,,,,,,LootDrop2,
head_j_nonamegiven_sas_woodland_sniper_mp,head,20,20,0,,head_j_nonamegiven_sas_woodland_sniper_lobby,,,,woodland,ally,sniper,,,,,,,,LootDrop2,
head_j_nonamegiven_spetsnaz_urban_sniper_mp,head,20,20,0,,head_j_nonamegiven_spetsnaz_urban_sniper_lobby,,,,urban,!ally,sniper,,,,,,,,LootDrop2,
head_j_nonamegiven_spetsnaz_woodland_lmg_mp,head,20,20,0,,head_j_nonamegiven_spetsnaz_woodland_lmg_lobby,,,,woodland,!ally,lmg,,,,,,,,LootDrop2,
head_j_nonamegiven_spetsnaz_woodland_lmg_mp,head,20,20,0,,head_j_nonamegiven_spetsnaz_woodland_lmg_lobby,,,,urban,!ally,lmg,,,,,,,,LootDrop2,
head_j_nonamegiven_spetsnaz_woodland_shotgun_mp,head,20,20,0,,head_j_nonamegiven_spetsnaz_woodland_shotgun_lobby,,,,woodland,!ally,shotgun,,,,,,,,LootDrop2,
head_j_nonamegiven_spetsnaz_woodland_shotgun_mp,head,20,20,0,,head_j_nonamegiven_spetsnaz_woodland_shotgun_lobby,,,,urban,!ally,shotgun,,,,,,,,LootDrop2,
head_j_nonamegiven_spetsnaz_woodland_smg_mp,head,20,20,0,,head_j_nonamegiven_spetsnaz_woodland_smg_lobby,,,,woodland,!ally,smg,,,,,,,,LootDrop2,
head_j_nonamegiven_spetsnaz_woodland_smg_mp,head,20,20,0,,head_j_nonamegiven_spetsnaz_woodland_smg_lobby,,,,urban,!ally,smg,,,,,,,,LootDrop2,
head_j_nonamegiven_spetsnaz_woodland_sniper_mp,head,20,20,0,,head_j_nonamegiven_spetsnaz_woodland_sniper_lobby,,,,woodland,!ally,sniper,,,,,,,,LootDrop2,
head_j_nonamegiven_usmc_desert_lmg_mp,head,20,20,0,,head_j_nonamegiven_usmc_desert_lmg_lobby,,,,desert,ally,lmg,,,,,,,,LootDrop2,
head_j_nonamegiven_usmc_desert_shotgun_mp,head,20,20,0,,head_j_nonamegiven_usmc_desert_shotgun_lobby,,,,desert,ally,shotgun,,,,,,,,LootDrop2,
head_j_nonamegiven_usmc_desert_smg_mp,head,20,20,0,,head_j_nonamegiven_usmc_desert_smg_lobby,,,,desert,ally,smg,,,,,,,,LootDrop2,
head_j_nonamegiven_usmc_desert_sniper_mp,head,20,20,0,,head_j_nonamegiven_usmc_desert_sniper_lobby,,,,desert,ally,sniper,,,,,,,,LootDrop2,
head_c_bui_sas_ct_assault_mp,head,21,21,0,,head_c_bui_sas_ct_assault_lobby,,,,urban,ally,assault,,,,,,,,LootDrop2,
head_c_bui_sas_woodland_assault_mp,head,21,21,0,,head_c_bui_sas_woodland_assault_lobby,,,,woodland,ally,assault,,,,,,,,LootDrop2,
